source,participant_ID,target_word,comment,latency,duree_mot,condition,n_phonemes,Offset,Notes,word_duration,transcript,phoneme_count
s101marin_ov2_bmpnaming,s101,marin,ok,644.295,405.6374376,ov2,5,1046,FALSE,401.705,maʀɛ̃,4
s101marteau_neut_bmpnaming,s101,marteau,ok,782.817,458.1682084,neut,7,1230,FALSE,447.183,maʀto,5
s101marteau_ov2_bmpnaming,s101,marteau,ok,680.302,396.8192325,ov2,7,1061,FALSE,380.698,maʀto,5
s101massue_neut_bmpnaming,s101,massue,ok,777.662,390.2055786,neut,6,1163,FALSE,385.338,masy,4
s101massue_ov2_bmpnaming,s101,massue,ok,636.568,440.9102583,ov2,6,1061,FALSE,424.432,masy,4
s101miroir_neut_bmpnaming,s101,miroir,ok,808.638,580.8992653,neut,6,1373,FALSE,564.362,miʀwaʀ,6
s101miroir_ov2_bmpnaming,s101,miroir,ok,614.634,556.6492011,ov2,6,1148,FALSE,533.366,miʀwaʀ,6
s101momie_neut_bmpnaming,s101,momie,ok,823.703,341.7054502,neut,5,1159,FALSE,335.297,mɔmi,4
s101momie_ov2_bmpnaming,s101,momie,ok,695.835,395.7169568,ov2,5,1087,FALSE,391.165,mɔmi,4
s101moulin_neut_bmpnaming,s101,moulin,ok,1212.416,349.4213797,neut,6,1538,FALSE,325.584,mulɛ̃,4
s101moulin_ov2_bmpnaming,s101,moulin,ok,726.687,330.6826937,ov2,6,1048,FALSE,321.313,mulɛ̃,4
s101panier_neut_bmpnaming,s101,panier,ok,1180.083,346.1145528,neut,6,1520,FALSE,339.917,pɑ̃jəʀ,5
s101panier_ov2_bmpnaming,s101,panier,ok,801.999,291.0007705,ov2,6,1086,FALSE,284.001,pɑ̃jəʀ,5
s101pigeon_neut_bmpnaming,s101,pigeon,ok,1399.792,302.0235269,neut,6,1687,FALSE,287.208,piʒəɔ̃,5
s101pigeon_ov2_bmpnaming,s101,pigeon,ok,1037.519,319.281477,ov2,6,1353,FALSE,315.481,piʒəɔ̃,5
s101piscine_neut_bmpnaming,s101,piscine,ok,616.809,455.2398417,neut,7,1054,FALSE,437.191,pizin,5
s101piscine_ov2_bmpnaming,s101,piscine,ok,675.225,503.7399701,ov2,7,1170,FALSE,494.775,pizin,5
s101poisson_neut_bmpnaming,s101,poisson,ok,825.872,416.6601941,neut,7,1207,FALSE,381.128,pwasɔ̃,5
s101poisson_ov2_bmpnaming,s101,poisson,ok,887.596,343.9100015,ov2,7,1213,FALSE,325.404,pwasɔ̃,5
s101poulet_neut_bmpnaming,s101,poulet,ok,827.331,314.148559,neut,6,1134,FALSE,306.669,pulɛ,4
s101poulet_ov2_bmpnaming,s101,poulet,ok,708.282,261.239328,ov2,6,965,FALSE,256.718,pulɛ,4
s101raisin_neut_bmpnaming,s101,raisin,ok,940.498,392.0316697,neut,6,1313,FALSE,372.502,ʀɛzɛ̃,4
s101raisin_ov2_bmpnaming,s101,raisin,ok,730.235,466.2625982,ov2,6,1189,FALSE,458.765,ʀɛzɛ̃,4
s101requin_neut_bmpnaming,s101,requin,ok,670.348,404.535162,neut,6,1068,FALSE,397.652,ʀəkɛ̃,4
s101requin_ov2_bmpnaming,s101,requin,ok,716.64,359.3418605,ov2,6,1054,FALSE,337.36,ʀəkɛ̃,4
s101robot_neut_bmpnaming,s101,robot,ok,711.488,434.2966044,neut,5,1139,FALSE,427.512,ʀɔbo,4
s101robot_ov2_bmpnaming,s101,robot,ok,654.167,396.8192325,ov2,5,1031,FALSE,376.833,ʀɔbo,4
s101sifflet_neut_bmpnaming,s101,sifflet,ok,766.235,494.5433047,neut,7,1236,FALSE,469.765,siflɛ,5
s101sifflet_ov2_bmpnaming,s101,sifflet,ok,732.061,481.315997,ov2,7,1202,FALSE,469.939,siflɛ,5
s101tonneau_neut_bmpnaming,s101,tonneau,ok,1019.722,321.2116929,neut,7,1332,FALSE,312.278,tɔno,4
s101tonneau_ov2_bmpnaming,s101,tonneau,ok,872.391,294.5696031,ov2,7,1160,FALSE,287.609,tɔno,4
s101tortue_neut_bmpnaming,s101,tortue,ok,794.046,389.9694674,neut,6,1182,FALSE,387.954,tɔʀty,5
s101tortue_ov2_bmpnaming,s101,tortue,ok,912.059,346.8675789,ov2,6,1252,FALSE,339.941,tɔʀty,5
s101trompette_neut_bmpnaming,s101,trompette,ok,897.692,514.1439557,neut,9,1333,FALSE,435.308,tʀɔ̃pɛt,6
s101trompette_ov2_bmpnaming,s101,trompette,ok,641.129,540.8260771,ov2,9,1099,FALSE,457.871,tʀɔ̃pɛt,6
s101voiture_neut_bmpnaming,s101,voiture,ok,844.668,464.1889072,neut,7,1293,FALSE,448.332,vwatyʀ,6
s101voiture_ov2_bmpnaming,s101,voiture,ok,880.668,595.5464421,ov2,7,1464,FALSE,583.332,vwatyʀ,6
s101volcan_neut_bmpnaming,s101,volcan,ok,738.696,428.9664141,neut,6,1156,FALSE,417.304,vɔlkɑ̃,5
s101volcan_ov2_bmpnaming,s101,volcan,ok,695.941,506.9603076,ov2,6,1190,FALSE,494.059,vɔlkɑ̃,5
s102balai_neut_bmpnaming,s102,balai,ok,567.803,383.7113673,neut,5,944,FALSE,376.197,bal,3
